Id	Oxygen	Centroid Size	Log Centroid Size
Hypoxia_111F-WING	Hypoxia	1.9349781942371687	0.6600960572901698
Hypoxia_112M-WING	Hypoxia	1.9441375580789888	0.6648184638635513
Hypoxia_113M-WING	Hypoxia	1.871232241666794	0.6265971666154442
Hypoxia_114M-WING	Hypoxia	1.8469269734453497	0.6135231625065736
Hypoxia_116F-WING	Hypoxia	2.2788753189530433	0.8236820401022273
Hypoxia_118F-WING	Hypoxia	2.1269581908287103	0.7546928796209191
Hypoxia_119M-WING	Hypoxia	1.9057972259083604	0.6449004123260853
Hypoxia_011F-WING	Hypoxia	2.250730904131662	0.811255009745938
Hypoxia_120F-WING	Hypoxia	2.2583531718193837	0.8146358626285396
Hypoxia_121M-WING	Hypoxia	1.9779078223853945	0.682039630691685
Hypoxia_122M-WING	Hypoxia	2.016783303381898	0.701503818089899
Hypoxia_123M-WING	Hypoxia	1.967022562090566	0.6765210096464593
Hypoxia_125M-WING	Hypoxia	2.0292568516807665	0.7076696431131085
Hypoxia_127M-WING	Hypoxia	1.856845653018402	0.6188791626094869
Hypoxia_129M-WING	Hypoxia	2.068619089463629	0.72688127812339
Hypoxia_131F-WING	Hypoxia	2.3050554464162745	0.8351047310036694
Hypoxia_132F-WING	Hypoxia	2.2098283175215214	0.7929148281326717
Hypoxia_013M-WING	Hypoxia	1.9392605084309853	0.6623067191860664
Hypoxia_014M-WING	Hypoxia	2.0972526573623256	0.7406282298133536
Hypoxia_015M-WING	Hypoxia	1.9757778728322004	0.680962180472602
Hypoxia_017F-WING	Hypoxia	2.2988878146616916	0.8324254471400803
Hypoxia_019F-WING	Hypoxia	2.283715404890313	0.8258036802167157
Hypoxia_001F-WING	Hypoxia	2.1541028035108574	0.7673743043877226
Hypoxia_020M-WING	Hypoxia	2.1109732078672465	0.7471490771074089
Hypoxia_021M-WING	Hypoxia	1.988751466748253	0.6875070381922793
Hypoxia_022F-WING	Hypoxia	2.191380319302577	0.7845316280702006
Hypoxia_023M-WING	Hypoxia	1.9891926187543196	0.6877288371911555
Hypoxia_024F-WING	Hypoxia	2.2436834229394615	0.8081189005866847
Hypoxia_026F-WING	Hypoxia	2.1403856249470556	0.7609860113733379
Hypoxia_027F-WING	Hypoxia	2.202824290977382	0.7897403056639752
Hypoxia_028M-WING	Hypoxia	2.0189009479780498	0.7025532781856916
Hypoxia_029M-WING	Hypoxia	1.9654241475671366	0.6757080732079149
Hypoxia_002M-WING	Hypoxia	1.919302622687035	0.6519619027097887
Hypoxia_030M-WING	Hypoxia	1.852161459283	0.6163533134622787
Hypoxia_032M-WING	Hypoxia	2.067460845707443	0.7263212097472383
Hypoxia_033M-WING	Hypoxia	2.066047538710891	0.7256373804573529
Hypoxia_035F-WING	Hypoxia	2.2158752429984263	0.7956474690143207
Hypoxia_036F-WING	Hypoxia	2.166269402719799	0.7730065188314785
Hypoxia_037F-WING	Hypoxia	2.1600412492728	0.7701273183992859
Hypoxia_038M-WING	Hypoxia	2.0090173884530396	0.6976457410731105
Hypoxia_039M-WING	Hypoxia	2.069035950320826	0.7270827743112546
Hypoxia_003M-WING	Hypoxia	1.8811299197911167	0.6318726174664604
Hypoxia_041M-WING	Hypoxia	2.0350435040657002	0.7105171965853169
Hypoxia_042F-WING	Hypoxia	2.34146006604711	0.8507746946367925
Hypoxia_043F-WING	Hypoxia	2.1131307521747598	0.7481706165939114
Hypoxia_044M-WING	Hypoxia	1.9499707519823637	0.6678143734797664
Hypoxia_045M-WING	Hypoxia	2.0493822569187374	0.7175384096504512
Hypoxia_046M-WING	Hypoxia	2.0056198402721632	0.6959531602502741
Hypoxia_047F-WING	Hypoxia	2.0063373666194173	0.6963108541726678
Hypoxia_048F-WING	Hypoxia	2.2332230792466747	0.8034458690087065
Hypoxia_049M-WING	Hypoxia	2.01915192708556	0.7026775851799774
Hypoxia_004F-WING	Hypoxia	2.313494920812809	0.8387593339066218
Hypoxia_050F-WING	Hypoxia	2.146520457692712	0.763848139358101
Hypoxia_053F-WING	Hypoxia	2.2366625096901256	0.8049848037549424
Hypoxia_054M-WING	Hypoxia	2.000400781796821	0.6933475513827817
Hypoxia_056F-WING	Hypoxia	2.2523786038615565	0.8119868150908908
Hypoxia_057M-WING	Hypoxia	2.047027069057304	0.7163885303617747
Hypoxia_058M-WING	Hypoxia	1.965729699712891	0.6758635248428496
Hypoxia_059M-WING	Hypoxia	1.935238647168181	0.6602306507468564
Hypoxia_005F-WING	Hypoxia	2.2884082295021866	0.8278564795874636
Hypoxia_060F-WING	Hypoxia	2.2243285273238445	0.7994550845993746
Hypoxia_061F-WING	Hypoxia	2.0697427136176456	0.7274243066139349
Hypoxia_062F-WING	Hypoxia	2.236060621614122	0.8047156665595618
Hypoxia_063M-WING	Hypoxia	1.9726905459126967	0.6793983702954615
Hypoxia_064M-WING	Hypoxia	2.0298674045497	0.7079704729645725
Hypoxia_065M-WING	Hypoxia	1.9711458865103484	0.6786150419258398
Hypoxia_067M-WING	Hypoxia	1.9624774707088994	0.6742076907149775
Hypoxia_068F-WING	Hypoxia	2.102054956110012	0.7429154167894976
Hypoxia_069F-WING	Hypoxia	2.115417127607066	0.74925201650713
Hypoxia_006M-WING	Hypoxia	2.0068768117649887	0.6965796886404246
Hypoxia_070F-WING	Hypoxia	2.266543813186352	0.81825612198023
Hypoxia_071M-WING	Hypoxia	1.9825600092136775	0.6843889435334095
Hypoxia_072F-WING	Hypoxia	2.2758107789240016	0.8223363752526068
Hypoxia_073F-WING	Hypoxia	2.200839331633881	0.7888388019852012
Hypoxia_074M-WING	Hypoxia	2.100422065246253	0.742138307985506
Hypoxia_077F-WING	Hypoxia	2.1838469391633955	0.7810879726261013
Hypoxia_078M-WING	Hypoxia	1.953326353616654	0.6695337416806327
Hypoxia_079M-WING	Hypoxia	2.0072879490031657	0.6967845318713916
Hypoxia_07M-WING	Hypoxia	2.0779839570603036	0.7313981722720185
Hypoxia_080M-WING	Hypoxia	2.03921439328973	0.712564632357002
Hypoxia_081F-WING	Hypoxia	2.2135021314137777	0.7945759361052389
Hypoxia_083M-WING	Hypoxia	1.8506639834754792	0.6155444846841966
Hypoxia_084M-WING	Hypoxia	1.8594308691998553	0.6202704566012089
Hypoxia_085M-WING	Hypoxia	1.9546367894351455	0.6702043907219051
Hypoxia_086M-WING	Hypoxia	2.0789603459742407	0.7318679350885086
Hypoxia_087F-WING	Hypoxia	2.2907941220953623	0.8288985356600644
Hypoxia_088M-WING	Hypoxia	2.1179250371436664	0.750436853325129
Hypoxia_089F-WING	Hypoxia	2.4071395778558418	0.8784391454270489
Hypoxia_008M-WING	Hypoxia	1.9359875032895568	0.6606175339211332
Hypoxia_090M-WING	Hypoxia	2.162178352110051	0.7711162098525218
Hypoxia_091M-WING	Hypoxia	2.034572054397025	0.7102855041003577
Hypoxia_092F-WING	Hypoxia	2.30601597760004	0.8355213505306002
Hypoxia_093F-WING	Hypoxia	2.1794482644589968	0.7790717550706874
Hypoxia_094M-WING	Hypoxia	2.0895825592176704	0.7369643135958045
Hypoxia_095F-WING	Hypoxia	2.1399936275014158	0.7608028512262497
Hypoxia_096M-WING	Hypoxia	2.1156090923640254	0.7493427579713096
Hypoxia_097M-WING	Hypoxia	2.0786476689392703	0.7317175231042915
Hypoxia_099M-WING	Hypoxia	2.0959696238097845	0.7400162738966152
