Id	Temp	Centroid Size	Log Centroid Size
17C_135M-WING	17C	2.8556873296050234	1.0493125600545237
17C_136M-WING	17C	2.614344567032688	0.9610134225183878
17C_138M-WING	17C	2.6319889743968643	0.9677398243953546
17C_139M-WING	17C	2.659846638882275	0.9782684665759842
17C_013F-WING	17C	2.9852838200077385	1.0936948244041953
17C_140F-WING	17C	3.0131548797276695	1.10298766265301
17C_141F-WING	17C	2.962111168800613	1.0859022468093107
17C_142F-WING	17C	3.132067800249542	1.1416934254835045
17C_143F-WING	17C	3.038182254230316	1.1112593938917117
17C_143M-WING	17C	2.7426356515828587	1.0089193746907192
17C_144M-WING	17C	2.6901161542753753	0.9895843727095377
17C_145M-WING	17C	2.7491379669028357	1.0112873959567747
17C_147M-WING	17C	2.6493464143973324	0.9743129735019735
17C_148F-WING	17C	3.016682211925325	1.104157622154865
17C_149M-WING	17C	2.8017436972666387	1.030241972377251
17C_014F-WING	17C	3.0709587315733597	1.121989803261379
17C_150F-WING	17C	3.0156022200372075	1.1037995515393833
17C_151M-WING	17C	2.7103283946169077	0.9970698063754759
17C_152F-WING	17C	3.154896567424465	1.1489557117551343
17C_153F-WING	17C	3.085072314145434	1.1265750976484061
17C_154M-WING	17C	2.6402041146269983	0.9708562303160758
17C_155M-WING	17C	2.5739976896441332	0.9454602115993803
17C_156M-WING	17C	2.765800956665778	1.017330269939524
17C_157M-WING	17C	2.759293974909766	1.01497484081296
17C_158M-WING	17C	2.6767633400881743	0.9846083557323171
17C_159F-WING	17C	3.0530935143839484	1.1161553436092064
17C_015M-WING	17C	2.5138556533182252	0.9218176913828846
17C_160M-WING	17C	2.7055012335856228	0.9952871940553162
17C_161F-WING	17C	2.9977511057279806	1.0978623761299706
17C_162M-WING	17C	2.7390705860930282	1.0076186607020858
17C_163F-WING	17C	2.9219852412472354	1.0722632624078927
17C_016F-WING	17C	2.9497026588771065	1.0817043716707313
17C_017M-WING	17C	2.646529359381199	0.973249105918153
17C_018F-WING	17C	3.074992693450397	1.1233025251419662
17C_019F-WING	17C	2.972861426751448	1.0895249323516008
17C_001F-WING	17C	2.4715443898151337	0.904843214281366
17C_020M-WING	17C	2.6909485825014685	0.9898937643535535
17C_022M-WING	17C	2.5516614116427494	0.9367446809917679
17C_023F-WING	17C	2.9586362849123584	1.0847284476177739
17C_024F-WING	17C	2.9566309212029376	1.084050417795495
17C_026M-WING	17C	2.4733134252523135	0.9055587193894241
17C_027F-WING	17C	2.97325214082941	1.0896563506550299
17C_028M-WING	17C	2.681687158818741	0.9864461333202189
17C_029M-WING	17C	2.6256301728105838	0.9653209330649993
17C_02M-WING	17C	2.9440146919130665	1.0797741913137788
17C_031F-WING	17C	3.0496755367852946	1.1150352035785491
17C_032M-WING	17C	2.6186179491225263	0.962646678260844
17C_033F-WING	17C	3.0246739435163343	1.1068032984060123
17C_036M-WING	17C	2.9902798566934607	1.0953669805789585
17C_037F-WING	17C	2.9617581330914473	1.0857830558914856
17C_039F-WING	17C	2.946629906642502	1.0806621127823046
17C_003M-WING	17C	2.592146588462929	0.9524863310818452
17C_040F-WING	17C	2.9620408374519984	1.0858785028714293
17C_042M-WING	17C	2.6060536539475425	0.9578370671121774
17C_044M-WING	17C	2.592734367576697	0.9527130591866058
17C_045F-WING	17C	2.9627218592076208	1.0861083928412016
17C_047M-WING	17C	2.6559122626949345	0.9767881974446702
17C_048M-WING	17C	2.6604304627985798	0.9784879378206168
17C_04F-WING	17C	2.987916124251148	1.0945761960101603
17C_050M-WING	17C	2.6327925325225796	0.968045082317606
17C_052F-WING	17C	2.951245564451276	1.0822273064774561
17C_053F-WING	17C	3.010900175378341	1.1022390956382704
17C_054M-WING	17C	2.6786842583303203	0.9853257255839395
17C_056F-WING	17C	2.7053309495562035	0.9952242521551752
17C_005F-WING	17C	2.988553858752868	1.094789611121741
17C_060F-WING	17C	2.989855436549846	1.0952250372537609
17C_061M-WING	17C	2.6430166707331475	0.9719209431062885
17C_063F-WING	17C	2.834754251606301	1.0419552496857085
17C_065M-WING	17C	2.9738574910263154	1.0898599286068313
17C_066M-WING	17C	2.6086666989121725	0.9588392474810256
17C_068M-WING	17C	2.4204049698290846	0.8839348690729134
17C_006M-WING	17C	2.5796164148829046	0.9476407114781192
17C_071M-WING	17C	2.6750195318339904	0.9839566819414965
17C_073F-WING	17C	2.988850206008994	1.0948887669603486
17C_074M-WING	17C	2.6181937656942043	0.9624846776190987
17C_075F-WING	17C	2.9304590381599493	1.0751590790717531
17C_076M-WING	17C	2.5754992804994794	0.9460434106600313
17C_077F-WING	17C	2.970603823310452	1.0887652396623735
17C_078F-WING	17C	3.0131468336829084	1.102984992343708
17C_079F-WING	17C	2.5422327463524406	0.933042728903346
17C_007M-WING	17C	2.603527237389052	0.9568671554017181
17C_080F-WING	17C	2.9844266198942346	1.0934076412558584
17C_081F-WING	17C	2.9952471504412888	1.0970267491781964
17C_082M-WING	17C	2.665545986682655	0.980408909685843
17C_083F-WING	17C	2.9618101632571463	1.085800623061508
17C_084M-WING	17C	2.7510817029791523	1.0119941808758846
17C_085M-WING	17C	2.5859450014904293	0.9500910123317123
17C_087M-WING	17C	2.571346597280628	0.9444297294973992
17C_088M-WING	17C	2.6306330325177103	0.9672245140016467
17C_089F-WING	17C	3.1779286229030808	1.156229608108707
17C_008M-WING	17C	2.638576077566585	0.9702394070907258
17C_090M-WING	17C	2.714450933334401	0.9985896984344451
17C_091M-WING	17C	2.6398309211639557	0.9707148700936021
17C_093M-WING	17C	2.5718182653653168	0.9446131450007351
17C_094F-WING	17C	3.0241771971783225	1.1066390535510557
17C_095M-WING	17C	2.7417437117012478	1.0085941091208552
17C_097F-WING	17C	2.6570722920412484	0.9772248745525354
17C_098M-WING	17C	2.59568196213121	0.9538492806015093
17C_099M-WING	17C	2.6654181249252438	0.9803609402173721
