Id,Condition,Sex,Centroid Size,Log Centroid Size,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15
S_041M-WING,standard,M,2.384607265,0.8690344422,0.58107,1.45462,0.6223,1.35541,0.59653,1.25234,0.76274,1.17503,0.78593,1.23043,0.81299,1.40952,0.82845,1.59248,1.03202,1.45591,1.04619,1.39664,1.39664,1.434,1.41983,1.28455,1.81022,2.04085,2.24957,1.88882,2.26246,1.69684,1.7458,1.15184
S_042M-WING,standard,M,2.337618537,0.8491326921,1.20724,0.48959,1.10932,0.53469,1.0114,0.49861,0.9341,0.66868,0.98692,0.68414,1.16215,0.70476,1.34124,0.72022,1.21626,0.93152,1.15571,0.93925,1.20338,1.29357,1.04748,1.30387,1.8012,1.71488,1.64015,2.12588,1.44431,2.12202,0.92121,1.59763
S_043M-WING,standard,M,2.384694622,0.8690710749,0.78851,1.85661,0.889,1.90428,0.92766,1.99704,1.10546,1.96226,1.08484,1.90557,0.99594,1.75353,0.89287,1.59763,1.13638,1.57187,1.18405,1.60923,1.43272,1.36443,1.55512,1.46364,1.37603,0.61328,1.79476,0.46898,1.93391,0.61199,1.88882,1.35541
S_044M-WING,standard,M,2.33508018,0.8480462288,0.82458,1.93005,0.76532,1.8347,0.6777,1.78703,0.71636,1.61309,0.77176,1.64015,0.92508,1.71488,1.07325,1.81666,1.08742,1.57058,1.04877,1.52935,1.28712,1.27811,1.18534,1.17246,2.04085,1.30774,2.15552,0.89029,1.99189,0.76789,1.27682,0.84906
S_045F-WING,standard,F,2.669021126,0.9817117858,0.56046,1.03459,0.64163,0.93796,0.63905,0.82587,0.84133,0.78335,0.84777,0.85422,0.81428,1.04104,0.78464,1.24718,1.05392,1.17117,1.07454,1.10546,1.42627,1.23688,1.48039,1.07196,1.7574,2.04085,2.23154,1.99318,2.29596,1.79218,1.89655,1.04104
S_046M-WING,standard,M,2.325971867,0.8441379589,1.89268,1.00625,1.79218,0.95085,1.77801,0.84391,1.60279,0.85937,1.60923,0.91606,1.68138,1.06809,1.75353,1.2459,1.50744,1.23559,1.47008,1.18663,1.21368,1.37474,1.1119,1.26909,1.1119,2.12846,0.68801,2.17871,0.58751,2.02023,0.77176,1.32062
S_047F-WING,standard,F,2.703373232,0.9945003383,2.15294,1.97514,2.20319,1.85403,2.30626,1.79605,2.24055,1.59248,2.18,1.62469,2.0125,1.74709,1.85145,1.88624,1.77415,1.60794,1.82311,1.54739,1.49843,1.30001,1.6234,1.16988,0.67126,1.44689,0.46898,1.00754,0.60684,0.84777,1.46364,0.81299
S_048M-WING,standard,M,2.380170037,0.8671719295,0.57592,1.29614,0.62745,1.19565,0.60169,1.09515,0.75758,1.01785,0.77433,1.07196,0.79753,1.24461,0.81943,1.43529,1.03459,1.30516,1.04877,1.24461,1.38633,1.28712,1.39922,1.13509,1.8128,1.89526,2.247,1.75353,2.24571,1.5461,1.73034,1.01785
S_049M-WING,standard,M,2.370129132,0.8629444398,0.69059,1.55254,0.7782,1.62082,0.77176,1.73163,0.96889,1.73678,0.96502,1.6788,0.93539,1.49456,0.86839,1.33093,1.12865,1.35799,1.16344,1.40824,1.45075,1.25878,1.52548,1.39664,1.62984,0.54242,2.0911,0.53984,2.16325,0.71507,1.86305,1.40566
S_050M-WING,standard,M,2.424229458,0.8855137247,1.10932,1.92747,1.03073,1.84887,0.92637,1.8347,0.90833,1.65304,0.9676,1.65561,1.13896,1.69813,1.33093,1.73936,1.27424,1.49327,1.21497,1.4675,1.37989,1.13896,1.24203,1.07067,2.12588,0.95085,2.12202,0.4999,1.93391,0.4226,1.23043,0.72151
S_051M-WING,standard,M,2.375353791,0.8651463911,1.96741,1.87464,1.86176,1.92489,1.82568,2.02796,1.64402,1.98416,1.66463,1.92618,1.75611,1.76642,1.85403,1.61696,1.61052,1.58475,1.56542,1.62727,1.32578,1.39535,1.20209,1.49198,1.36056,0.64549,0.93539,0.49475,0.80526,0.65065,0.87741,1.39149
S_052F-WING,standard,F,2.680939452,0.9861672749,0.84133,1.97127,0.77176,1.86305,0.65451,1.81924,0.69059,1.61438,0.76016,1.63242,0.9225,1.73807,1.11963,1.82826,1.15571,1.53837,1.10159,1.49069,1.33995,1.21497,1.21755,1.08871,2.19546,1.17761,2.31786,0.73182,2.15036,0.59524,1.30516,0.7228
S_053F-WING,standard,F,2.683450588,0.9871034992,0.72924,2.01508,0.68414,1.89268,0.60169,1.8347,0.64292,1.64015,0.70605,1.67236,0.86452,1.78317,1.03202,1.90557,1.09129,1.63113,1.04877,1.57573,1.35283,1.31934,1.23301,1.18276,2.18,1.43272,2.38615,0.98435,2.23154,0.83231,1.38118,0.83618
S_054F-WING,standard,F,2.646191766,0.973121537,2.08337,1.1003,2.06533,1.23043,2.13104,1.32449,1.97772,1.46621,1.9352,1.41854,1.86305,1.2343,1.78188,1.04877,1.59248,1.25491,1.60279,1.3232,1.21497,1.39922,1.23559,1.56671,0.56175,0.91477,0.18037,1.18663,0.2216,1.40566,0.94956,1.80893
S_055F-WING,standard,F,2.534573312,0.9300253043,0.53598,1.04748,0.60942,0.94054,0.5888,0.82974,0.77949,0.77176,0.79366,0.83231,0.78593,1.01656,0.78335,1.21755,1.02815,1.11319,1.04877,1.0449,1.39922,1.12092,1.43916,0.9676,1.81666,1.81151,2.24828,1.70586,2.28951,1.51002,1.79218,0.87612
S_057F-WING,standard,F,2.67372708,0.983473409,1.29614,2.21221,1.19694,2.14263,1.08871,2.14263,1.04233,1.93778,1.11319,1.9352,1.29486,1.96354,1.501,1.97643,1.42885,1.70844,1.36572,1.68396,1.51389,1.32835,1.35155,1.26393,2.30884,1.01913,2.26632,0.55015,2.0795,0.49217,1.31934,0.89416
