disc,distance,value,area
MAX_hypoxia_1feb_11.oif,59.662,2018.022,192610.029
MAX_hypoxia_1feb_11.oif,60.905,2015.951,192610.029
MAX_hypoxia_1feb_11.oif,62.148,2039.398,192610.029
MAX_hypoxia_1feb_11.oif,63.391,2050.126,192610.029
MAX_hypoxia_1feb_11.oif,64.634,2070.271,192610.029
MAX_hypoxia_1feb_11.oif,65.877,2070.094,192610.029
MAX_hypoxia_1feb_11.oif,67.12,2088.948,192610.029
MAX_hypoxia_1feb_11.oif,68.363,2135.75,192610.029
MAX_hypoxia_1feb_11.oif,69.606,2142.495,192610.029
MAX_hypoxia_1feb_11.oif,70.849,2166.876,192610.029
MAX_hypoxia_1feb_11.oif,72.092,2221.838,192610.029
MAX_hypoxia_1feb_11.oif,73.335,2238.892,192610.029
MAX_hypoxia_1feb_11.oif,74.578,2251.331,192610.029
MAX_hypoxia_1feb_11.oif,75.821,2249.559,192610.029
MAX_hypoxia_1feb_11.oif,77.064,2280.189,192610.029
MAX_hypoxia_1feb_11.oif,78.307,2308.754,192610.029
MAX_hypoxia_1feb_11.oif,79.55,2327.317,192610.029
MAX_hypoxia_1feb_11.oif,80.793,2339.325,192610.029
MAX_hypoxia_1feb_11.oif,82.036,2342.611,192610.029
MAX_hypoxia_1feb_11.oif,83.279,2364.871,192610.029
MAX_hypoxia_1feb_11.oif,84.522,2365.865,192610.029
MAX_hypoxia_1feb_11.oif,85.765,2381.541,192610.029
MAX_hypoxia_1feb_11.oif,87.008,2379.228,192610.029
MAX_hypoxia_1feb_11.oif,88.251,2419.401,192610.029
MAX_hypoxia_1feb_11.oif,89.494,2460.87,192610.029
MAX_hypoxia_1feb_11.oif,90.737,2508.65,192610.029
MAX_hypoxia_1feb_11.oif,91.98,2506.373,192610.029
MAX_hypoxia_1feb_11.oif,93.223,2518.995,192610.029
MAX_hypoxia_1feb_11.oif,94.466,2539.328,192610.029
MAX_hypoxia_1feb_11.oif,95.709,2598.094,192610.029
MAX_hypoxia_1feb_11.oif,96.952,2655.665,192610.029
MAX_hypoxia_1feb_11.oif,98.195,2755.779,192610.029
MAX_hypoxia_1feb_11.oif,99.438,2849.898,192610.029
MAX_hypoxia_1feb_11.oif,100.68,2928.99,192610.029
MAX_hypoxia_1feb_11.oif,101.923,2971.118,192610.029
MAX_hypoxia_1feb_11.oif,103.166,3021.984,192610.029
MAX_hypoxia_1feb_11.oif,104.409,2958.248,192610.029
MAX_hypoxia_1feb_11.oif,105.652,2946.436,192610.029
MAX_hypoxia_1feb_11.oif,106.895,2982.82,192610.029
MAX_hypoxia_1feb_11.oif,108.138,3001.826,192610.029
MAX_hypoxia_1feb_11.oif,109.381,2951.796,192610.029
