disc,distance,value,area
MAX_26thoct_10.oif,140.455,2557.953,153695.291
MAX_26thoct_10.oif,141.698,2569.71,153695.291
MAX_26thoct_10.oif,142.941,2576.389,153695.291
MAX_26thoct_10.oif,144.184,2556.874,153695.291
MAX_26thoct_10.oif,145.427,2595.949,153695.291
MAX_26thoct_10.oif,146.67,2524.369,153695.291
MAX_26thoct_10.oif,147.913,2457.54,153695.291
MAX_26thoct_10.oif,149.156,2472.775,153695.291
MAX_26thoct_10.oif,150.399,2454.464,153695.291
MAX_26thoct_10.oif,151.642,2401.263,153695.291
MAX_26thoct_10.oif,152.885,2443.817,153695.291
MAX_26thoct_10.oif,154.128,2474.171,153695.291
MAX_26thoct_10.oif,155.371,2445.301,153695.291
MAX_26thoct_10.oif,156.614,2430.695,153695.291
MAX_26thoct_10.oif,157.857,2470.72,153695.291
MAX_26thoct_10.oif,159.1,2499.595,153695.291
MAX_26thoct_10.oif,160.343,2460.673,153695.291
MAX_26thoct_10.oif,161.586,2468.049,153695.291
MAX_26thoct_10.oif,162.829,2533.129,153695.291
MAX_26thoct_10.oif,164.072,2500.077,153695.291
MAX_26thoct_10.oif,165.315,2450.035,153695.291
MAX_26thoct_10.oif,166.558,2433.95,153695.291
MAX_26thoct_10.oif,167.801,2424.847,153695.291
MAX_26thoct_10.oif,169.044,2410.861,153695.291
MAX_26thoct_10.oif,170.287,2440.231,153695.291
MAX_26thoct_10.oif,171.53,2387.743,153695.291
MAX_26thoct_10.oif,172.773,2345.523,153695.291
MAX_26thoct_10.oif,174.016,2359.275,153695.291
MAX_26thoct_10.oif,175.259,2366.786,153695.291
MAX_26thoct_10.oif,176.502,2419.301,153695.291
MAX_26thoct_10.oif,177.745,2467.23,153695.291
MAX_26thoct_10.oif,178.988,2469.76,153695.291
MAX_26thoct_10.oif,180.23,2451.282,153695.291
MAX_26thoct_10.oif,181.473,2386.365,153695.291
MAX_26thoct_10.oif,182.716,2386.232,153695.291
MAX_26thoct_10.oif,183.959,2388.872,153695.291
MAX_26thoct_10.oif,185.202,2383.822,153695.291
MAX_26thoct_10.oif,186.445,2347.706,153695.291
MAX_26thoct_10.oif,187.688,2299.901,153695.291
MAX_26thoct_10.oif,188.931,2321.314,153695.291
MAX_26thoct_10.oif,190.174,2287.728,153695.291
MAX_26thoct_10.oif,191.417,2302.417,153695.291
MAX_26thoct_10.oif,192.66,2287.998,153695.291
MAX_26thoct_10.oif,193.903,2255.866,153695.291
