disc,area,A,B,C,D,condition
MAX_17C_14dec_12.oif,140990.992,0.754414695,0.923878317,6.515449921,25.73704533,cold
MAX_17C_14dec_13.oif,167107.187,0.778738419,0.958914868,7.642398825,26.29738154,cold
MAX_17C_14dec_14.oif,190657.185,0.714624764,0.929210971,-3.444227204,30.95510079,cold
MAX_17C_14dec_16.oif,101876.953,0.655594806,0.941375793,-2.4707827,31.51880905,cold
MAX_17C_14dec_17.oif,150943.697,0.750508975,0.956571926,7.463536365,32.59164352,cold
MAX_17C_14dec_20.oif,147418.073,0.713907902,0.956630116,5.306564545,30.25298963,cold
MAX_17C_14dec_6.oif,119925.308,0.769441152,0.941621659,17.93480291,39.15306521,cold
MAX_17C_14dec_9.oif,160527.154,0.682670866,0.925084162,9.153911616,44.10777395,cold
MAX_17C_21dec_10.oif,128285.148,0.368542874,0.858305952,0.612330207,30.56851575,cold
MAX_17C_21dec_12.oif,201964.83,0.437726197,0.91088673,2.198733444,50.23065148,cold
MAX_17C_21dec_15.oif,217992.362,0.583570205,0.947250039,-2.598432246,17.86044744,cold
MAX_17C_21dec_16.oif,195064.988,0.32601833,0.946709315,-18.32844877,57.64325639,cold
MAX_17C_21dec_17.oif,187040.407,0.389032693,0.885343655,0.090326139,35.2565347,cold
MAX_17C_21dec_18.oif,235486.073,0.398701957,0.888022974,-0.883223781,48.34879736,cold
MAX_17C_21dec_2.oif,119619.404,0.43839442,0.899262632,2.624204712,37.12941308,cold
MAX_17C_21dec_3.oif,134973.329,0.526696742,0.888058203,-4.409313771,26.4307198,cold
MAX_17C_21dec_4.oif,109838.191,0.078808158,0.898692666,-2.109673141,69.56174244,cold
MAX_17C_21dec_5.oif,154069.174,0.561599551,0.979216231,11.05030928,36.3964996,cold
MAX_17C_21dec_7.oif,147535.491,0.531312146,0.958450258,2.419388736,38.46424629,cold
MAX_17C_5dec_1.oif,171834.799,0.858275192,0.987338893,-6.941581054,12.47574276,cold
MAX_17C_5dec_10.oif,114072.957,0.423611906,0.879197871,2.400810051,25.85936099,cold
MAX_17C_5dec_11.oif,119641.034,0.492547115,0.900740566,1.129758703,25.49623007,cold
MAX_17C_5dec_12.oif,147283.66,0.640020552,0.924742717,5.721847183,32.95555301,cold
MAX_17C_5dec_13.oif,129332.639,0.452071058,0.874233652,8.628592219,30.55920207,cold
MAX_17C_5dec_14.oif,186053.17,0.105612381,0.943717441,10.12047423,78.17584889,cold
MAX_17C_5dec_15.oif,149860.672,0.495994637,0.915480258,3.879871099,30.29100142,cold
MAX_17C_5dec_16.oif,131460.064,0.517581525,0.979618233,0.33438711,30.14623281,cold
MAX_17C_5dec_17.oif,135742.725,0.475536369,0.911256902,-0.983132629,32.91811896,cold
MAX_17C_5dec_4.oif,183242.868,0.540287477,0.915857972,-5.808052265,50.8098223,cold
MAX_17C_5dec_6.oif,205138.201,0.576207648,0.93456906,12.85338595,55.9071664,cold
MAX_17C_6dec_2.oif,134860.546,0.512832289,0.922691063,9.018445399,37.07591541,cold
MAX_17C_6dec_3.oif,195906.997,0.43632938,0.918796599,18.99884001,60.8164234,cold
MAX_17C_6dec_4.oif,155864.431,0.582207379,0.915414845,0.794210114,39.5936446,cold
